,title,img,isbn,author,author_info,description,year,publisher,pages,oryginal_title,amazon_link,translation_by,link_helion,code
"https://helion.pl/ksiazki/programowanie-sterowane-testami-w-pythonie-jak-tworzyc-skalowalne-zestawy-testow-i-aplikacji-alessandro-molina,proste.htm",Programowanie sterowane testami w Pythonie. Jak tworzyć skalowalne zestawy testów i aplikacji,https://static01.helion.com.pl/global/okladki/326x466/proste.jpg,9788328386648,Alessandro Molina,"['Alessandro Molina od dwóch dekad programuje w Pythonie. Pasjonuje się zastosowaniem tego języka do tworzenia aplikacji internetowych. Obecnie pracuje nad frameworkami TurboGears2 i Beaker. Opracował framework plikowej pamięci masowej DEPOT i prosty interpreter JavaScriptu dla Pythona, nazwany DukPy. Brał też udział w takich projektach Pythona jak FormEncode, ToscaWidgets i Ming MongoDB ORM.\n']","['\nSpośród wielu koncepcji tworzenia oprogramowania na szczególną uwagę zasługuje model programowania sterowanego testami, znany jako TDD. Technika ta opiera się na integracji procesów projektowania aplikacji i pisania kodu z prowadzeniem testów. Mimo że taki sposób pracy wydaje się dość wymagający dla zespołów deweloperów, łatwo się przekonać, że TDD pozwala na stałe uzyskiwanie dobrych efektów, a opracowane tą metodą aplikacje zaskakują stabilnością i przewidywalnością w środowisku produkcyjnym.\nW tej praktycznej książce dokładnie opisano koncepcje przeprowadzania testów oprogramowania, a szczególny akcent położono na model programowania sterowanego testami. Przedstawiono w niej również szeroką gamę przydatnych do testowania narzędzi, takich jak wbudowany w Pythona moduł testów jednostkowych unittest, frameworki pytest i Robot, a także biblioteka webtest. Omówiono też zasady projektowania testów, testowania kodu podczas implementacji nowych funkcjonalności i tworzenia pełnych zbiorów testów. Ponadto dokładnie zaprezentowano najlepsze praktyki związane z testami automatycznymi i modelem programowania TDD. Poszczególne koncepcje zostały zilustrowane praktycznymi przykładami zastosowania narzędzi dostępnych w Pythonie.\nW książce między innymi:\n\nnajlepsze praktyki dotyczące projektowania testów\npraca z frameworkiem pytest przeznaczonym do testowania aplikacji\ntworzenie testów funkcjonalnych dla aplikacji WSGI za pomocą biblioteki webtest\nzasady programowania sterowanego testami\ntechniki tworzenia niezawodnych aplikacji w Pythonie\n\nNajważniejsze jest testowanie kodu - od pierwszej linii!\n']",2022,Helion,296,Crafting Test-Driven Software with Python: Write test suites that scale with your applications,http://www.amazon.com/exec/obidos/ASIN/183864265X/helion-20,Robert Górczyński,https://helion.pl/ksiazki/proste.htm,//helion.pl/pobierz-przyklady/proste/
"https://helion.pl/ksiazki/czysty-kod-w-pythonie-tworz-wydajny-i-latwy-w-utrzymaniu-kod-wydanie-ii-mariano-anaya,czyko2.htm",Czysty kod w Pythonie. Twórz wydajny i łatwy w utrzymaniu kod. Wydanie II,https://static01.helion.com.pl/global/okladki/326x466/czyko2.jpg,9788328386112,Mariano Anaya,"['Mariano Anaya jest doświadczonym inżynierem oprogramowania. Tworzy oprogramowanie i wspiera innych programistów. Zajmuje się architekturą oprogramowania, programowaniem funkcyjnym i systemami rozproszonymi. Był prelegentem na konferencjach EuroPython w latach 2016 i 2017, a także FOSDEM w 2019 roku.\n']","['\nPopularność Pythona, ulubionego języka programistów i naukowców, stale rośnie. Jest on bowiem łatwy do nauczenia się: nawet początkujący programista może napisać działający kod. W efekcie, mimo że Python pozwala na pisanie kodu przejrzystego i prostego w konserwacji, zdarzają się przypadki kodu źle zorganizowanego, nieczytelnego i praktycznie nietestowalnego. Jedną z przyczyn tego stanu rzeczy jest tendencja niektórych programistów do pisania kodu bez czytelnej struktury. Zidentyfikowanie takich problemów i ich rozwiązywanie nie jest łatwym zadaniem.\nDzięki tej książce nauczysz się korzystać z kilku narzędzi służących do zarządzania projektami napisanymi w Pythonie. Dowiesz się, czym się charakteryzuje czysty kod i jakie techniki umożliwiają tworzenie czytelnego i wydajnego kodu. Przekonasz się, że do tego celu wystarczą standardowa biblioteka Pythona i zestaw najlepszych praktyk programistycznych. Opisano tu szczegóły programowania obiektowego w Pythonie wraz z zastosowaniem deskryptorów i generatorów. Zaprezentowano również zasady testowania oprogramowania i sposoby rozwiązywania problemów poprzez implementację wzorców projektowych w kodzie. Pokazano też, jak można podzielić monolityczną aplikację na mikrousługi, by otrzymać solidną architekturę aplikacji.\nW książce między innymi:\n\nkonfiguracja wydajnego środowiska programistycznego\ntworzenie zaawansowanych projektów obiektowych\ntechniki eliminacji zdublowanego kodu i tworzenie rozbudowanych abstrakcji\nzastosowanie dekoratorów i deskryptorów\nskuteczna refaktoryzacja kodu\nbudowa solidnej architektury opartej na czystym kodzie Pythona\n\nCzysty kod w Pythonie. Tylko taki warto pisać!\n']",2022,Helion,360,"Clean Code in Python: Develop maintainable and efficient code, 2nd Edition",http://www.amazon.com/exec/obidos/ASIN/1800560214/helion-20,Radosław Meryk,https://helion.pl/ksiazki/czyko2.htm,//helion.pl/pobierz-przyklady/czyko2/
"https://helion.pl/ksiazki/bezpieczenstwo-sieci-w-pythonie-rozwiazywanie-problemow-za-pomoca-skryptow-i-bibliotek-wydanie-ii-jose-manuel-ortega,bezsp2.htm",Bezpieczeństwo sieci w Pythonie. Rozwiązywanie problemów za pomocą skryptów i bibliotek. Wydanie II,https://static01.helion.com.pl/global/okladki/326x466/bezsp2.jpg,9788328382558,José Manuel Ortega,"['Jose Manuel Ortega Candel jest inżynierem oprogramowania i analitykiem bezpieczeństwa. Specjalizuje się w nowych technologiach i testowaniu otwartego oprogramowania. Współpracował z uczelniami informatycznymi, publikował artykuły i organizował konferencje. Był także prelegentem na różnych krajowych i międzynarodowych spotkaniach.\n']","['\nPopularność Pythona wynika z jego wszechstronności, prostoty, a także ze zwięzłości i z łatwości pisania kodu. Rozbudowywana z każdą aktualizacją kolekcja narzędzi i bibliotek pozwala na używanie Pythona do coraz bardziej specjalistycznych zadań, takich jak zabezpieczanie sieci. O tym, że skuteczna ochrona sieci ma krytyczne znaczenie dla organizacji, świadczą powtarzające się przypadki cyberataków i utraty cennych danych. Warto więc wykorzystać możliwości Pythona do wykrywania zagrożeń i rozwiązywania różnych problemów związanych z siecią.\nTę książkę docenią specjaliści do spraw bezpieczeństwa i inżynierowie sieci. Dzięki niej zapoznasz się z najnowszymi pakietami i bibliotekami Pythona i nauczysz się pisać skrypty, które pozwolą Ci zabezpieczyć sieć na wielu poziomach. Dowiesz się, w jaki sposób przesyłać dane i korzystać z sieci Tor. Nauczysz się też identyfikować podatności systemu na ataki, aby tym skuteczniej zapewnić mu bezpieczeństwo. W naturalny sposób przyswoisz wiedzę, która pozwoli Ci tworzyć w Pythonie bezpieczne aplikacje, zaczniesz również stosować techniki kryptograficzne i steganograficzne. Znajdziesz tu także wskazówki, jak rozwiązywać różne problemy sieciowe, pisać skrypty do wykrywania zagrożeń sieci i stron internetowych, zabezpieczać urządzenia końcowe, pozyskiwać metadane i pisać skrypty kryptograficzne.\nNajważniejsze zagadnienia:\n\nskrypty automatyzujące procedury bezpieczeństwa i testy penetracyjne\nnarzędzia programistyczne służące do zabezpieczania sieci\nautomatyczna analiza serwerów\nwykrywanie podatności na ataki i analiza bezpieczeństwa\npraca z siecią Tor\nstosowanie narzędzi do analizy śledczej\n\nPython w sieci: najlepsza ochrona!\n']",2021,Helion,384,"Mastering Python for Networking and Security: Leverage the scripts and libraries of Python version 3.7 and beyond to overcome networking and security issues, 2nd Edition",http://www.amazon.com/exec/obidos/ASIN/1839217162/helion-20,Andrzej Watrak,https://helion.pl/ksiazki/bezsp2.htm,//helion.pl/pobierz-przyklady/bezsp2/
"https://helion.pl/ksiazki/czyszczenie-danych-w-pythonie-receptury-nowoczesne-techniki-i-narzedzia-pythona-do-wykrywania-i-el-michael-walker,czydap.htm",Czyszczenie danych w Pythonie. Receptury. Nowoczesne techniki i narzędzia Pythona do wykrywania i eliminacji zanieczyszczeń oraz wydobywania kluczowych cech z danych,https://static01.helion.com.pl/global/okladki/326x466/czydap.jpg,9788328380295,Michael Walker,"['Michael Walker jest analitykiem danych. Od ponad trzydziestu lat zajmuje się tym zagadnieniem w różnych instytucjach edukacyjnych. Od 2006 roku prowadzi na wyższych uczelniach zajęcia z analizy danych, metod badawczych, statystyki i programowania. Poza tym tworzy raporty dla fundacji i sektora publicznego, a także publikuje analizy w czasopismach naukowych.\n']","['\nPrzetwarzanie dużych ilości danych daje wiedzę, która leży u podstaw istotnych decyzji podejmowanych przez organizację. Pozwala to na uzyskiwanie znakomitych efektów: techniki wydobywania wiedzy z danych stają się coraz bardziej wyrafinowane. Podstawowym warunkiem sukcesu jest uzyskanie odpowiedniej jakości danych. Wykorzystanie niespójnych i niepełnych informacji prowadzi do podejmowania błędnych decyzji. Konsekwencją mogą być straty finansowe, stwarzanie konkretnych zagrożeń czy uszczerbek na wizerunku. A zatem oczyszczanie jest wyjątkowo ważną częścią analizy danych.\nTa książka jest praktycznym zbiorem gotowych do użycia receptur, podanych tak, aby maksymalnie ułatwić proces przygotowania danych do analizy. Omówiono tu takie kwestie dotyczące danych jak importowanie, ocena ich jakości, uzupełnianie braków, porządkowanie i agregacja, a także przekształcanie. Poza zwięzłym omówieniem tych zadań zaprezentowano najskuteczniejsze techniki ich wykonywania za pomocą różnych narzędzi: Pandas, NumPy, Matplotlib czy SciPy. W ramach każdej receptury wyjaśniono skutki podjętych działań. Cennym uzupełnieniem jest zestaw funkcji i klas zdefiniowanych przez użytkownika, które służą do automatyzacji oczyszczania danych. Umożliwiają one też dostrojenie procesu do konkretnych potrzeb.\nW książce znajdziesz receptury, dzięki którym:\n\nwczytasz i przeanalizujesz dane z różnych źródeł\nuporządkujesz dane, poprawisz ich błędy i uzupełnisz braki\nefektywnie skorzystasz z bibliotek Pythona\nzastosujesz wizualizacje do analizy danych\nnapiszesz własne funkcje i klasy do automatyzacji procesu oczyszczania danych\n\nPrawdziwą wartość mają tylko oczyszczone i spójne dane!\n']",2021,Helion,328,Python Data Cleaning Cookbook: Modern techniques and Python tools to detect and remove dirty data and extract key insights,http://www.amazon.com/exec/obidos/ASIN/1800565666/helion-20,Filip Kamiński,https://helion.pl/ksiazki/czydap.htm,//helion.pl/pobierz-przyklady/czydap/
"https://helion.pl/ksiazki/statystyka-praktyczna-w-data-science-50-kluczowych-zagadnien-w-jezykach-r-i-python-wydanie-ii-peter-bruce-andrew-bruce-peter-gedeck,stpra2.htm",Statystyka praktyczna w data science. 50 kluczowych zagadnień w językach R i Python. Wydanie II,https://static01.helion.com.pl/global/okladki/326x466/stpra2.jpg,9788328374270,"Peter Bruce, Andrew Bruce, Peter Gedeck","['Peter Bruce jest ekspertem w dziedzinie nauczania statystyki. Prowadzi Institute for Statistics Education, gdzie oferuje setki kursów skierowanych między innymi do naukowców.\xa0\r\n\xa0\n', 'Dr Andrew Bruce jest głównym analitykiem w Amazonie. Od trzydziestu lat zajmuje się statystyką i nauką o danych, opracowując rozwiązania problemów z wielu branż.\xa0\r\n\xa0\n', 'Dr Peter Gedeck jest badaczem w Collaborative Drug Discovery. Tworzy algorytmy uczenia maszynowego do przewidywania właściwości substancji stanowiących potencjalne leki.\xa0\n']","['\nMetody statystyczne są kluczowym narzędziem w data science, mimo to niewielu analityków danych zdobyło wykształcenie w ich zakresie. Może im to utrudniać uzyskiwanie dobrych efektów. Zrozumienie praktycznych zasad statystyki okazuje się ważne również dla programistów R i Pythona, którzy tworzą rozwiązania dla data science. Kursy podstaw statystyki rzadko jednak uwzględniają tę perspektywę, a większość podręczników do statystyki w ogóle nie zajmuje się narzędziami wywodzącymi się z informatyki.\nTo drugie wydanie popularnego podręcznika statystyki przeznaczonego dla analityków danych. Uzupełniono je o obszerne przykłady w Pythonie oraz wyjaśnienie, jak stosować poszczególne metody statystyczne w problemach data science, a także jak ich nie używać. Skoncentrowano się też na tych zagadnieniach statystyki, które odgrywają istotną rolę w data science. Wyjaśniono, które koncepcje są ważne i przydatne z tej perspektywy, a które mniej istotne i dlaczego. Co ważne, poszczególne koncepcje i zagadnienia praktyczne przedstawiono w sposób przyswajalny i zrozumiały również dla osób nienawykłych do posługiwania się statystyką na co dzień.\nW książce między innymi:\n\nanaliza eksploracyjna we wstępnym badaniu danych\npróby losowe a jakość dużych zbiorów danych\npodstawy planowania eksperymentów\nregresja w szacowaniu wyników i wykrywaniu anomalii\nstatystyczne uczenie maszynowe\nuczenie nienadzorowane a znaczenie danych niesklasyfikowanych\n\nStatystyka: klasyczne narzędzia w najnowszych technologiach!\n']",2021,Helion,296,"Practical Statistics for Data Scientists: 50+ Essential Concepts Using R and Python, 2nd Edition",http://www.amazon.com/exec/obidos/ASIN/149207294X/helion-20,"Krzysztof Sawka, Marta Danch-Wierzchowska",https://helion.pl/ksiazki/stpra2.htm,//helion.pl/pobierz-przyklady/stpra2/
"https://helion.pl/ksiazki/kod-pythona-w-jednym-wierszu-jak-profesjonalisci-pisza-programy-doskonale-christian-mayer,kopywi.htm",Kod Pythona w jednym wierszu. Jak profesjonaliści piszą programy doskonałe,https://static01.helion.com.pl/global/okladki/326x466/kopywi.jpg,9788328374911,Christian Mayer,['Dr Christian Mayer jest pasjonatem Pythona. Założył i prowadzi popularną stronę poświęconą Pythonowi (https://blog.finxter.com/). Jego wybitne umiejętności przekazywania wiedzy są doceniane przez tysiące adeptów tego języka programowania. Jest autorem książek z serii Coffee Break Python.\n'],"['\n\n\n\nW Pythonie najlepsza jest wyrazistość, zwięzłość i interaktywność kodu. To są właśnie cechy kodu idealnego: każdy bit powinien być dziełem sztuki. Python pozwala na wyrażenie jednej myśli na wiele sposobów. Mistrz programowania zna je wszystkie i w konkretnej sytuacji wybiera ten najbardziej trafny i zwięzły. Rozwiązywanie złożonych problemów programistycznych za pomocą jednego wiersza kodu daje przecież dużą satysfakcję. Osiągnięcie tak wyrafinowanych umiejętności wymaga jednak pokonania wielu drobnych trudności, jakie napotyka osoba ucząca się Pythona.\nTa książka ułatwi Ci naukę czytania i pisania zwięzłych, użytecznych instrukcji zajmujących jeden wiersz kodu. Nauczysz się także systematycznie rozkładać dowolny blok kodu na części pierwsze. Stopniowo Twój kod Pythona będzie się stawał piękny, zwięzły i prosty. Znajdziesz tu liczne wskazówki, zapoznasz się też z takimi zagadnieniami jak uczenie maszynowe, podstawy nauki o danych i użyteczne algorytmy. Niejako przy okazji poznasz i zrozumiesz kluczowe pojęcia z dziedziny informatyki i zaczniesz używać zaawansowanych funkcji Pythona, takich jak listy składane, wycinanie, funkcje lambda, wyrażenia regularne, funkcje map i reduce oraz przypisywanie do wycinków.\nW książce między innymi:\n\nstosowanie struktur danych do rozwiązywania rzeczywistych problemów\npodstawowe funkcjonalności biblioteki NumPy\nstatystyki wielowymiarowych tablic danych\nalgorytm k-średnich w uczeniu nienadzorowanym\nzaawansowane wyrażenia regularne\nanagramy, palindromy, zbiory potęgowe, permutacje, silnie, liczby pierwsze, ciąg Fibonacciego, zatajanie tekstu, wyszukiwanie i sortowanie algorytmiczne\n\nZen Pythona: liczy się czytelność!\n']",2021,Helion,216,"Python One-Liners: Write Concise, Eloquent Python Like a Professional",http://www.amazon.com/exec/obidos/ASIN/1718500505/helion-20,Leszek Sagalara,https://helion.pl/ksiazki/kopywi.htm,//helion.pl/pobierz-przyklady/kopywi/
"https://helion.pl/ksiazki/django-3-praktyczne-tworzenie-aplikacji-sieciowych-wydanie-iii-antonio-mele,dj3pt3.htm",Django 3. Praktyczne tworzenie aplikacji sieciowych. Wydanie III,https://static01.helion.com.pl/global/okladki/326x466/dj3pt3.jpg,9788328372504,Antonio Melé,"['Antonio Melé\xa0jest informatykiem, a projektami Django zajmuje się od 2006 roku. Opiekuje się hiszpańską społecznością użytkowników Django (django.es). Jest założycielem Zenx IT — firmy informatycznej tworzącej aplikacje sieciowe dla klientów z różnych sektorów gospodarki. Melé brał również udział w tworzeniu wielu startupów informatycznych.\n']","['\nTwórz od podstaw rozbudowane i niezawodne aplikacje webowe w Pythonie\nDjango jest potężnym frameworkiem służącym do tworzenia aplikacji internetowych w Pythonie. Pozwala na pełne wykorzystywanie zalet tego języka, takich jak przejrzystość, elastyczność, wszechstronność i łatwość uczenia się. Wykorzystywanie Django do budowania aplikacji w Pythonie jest atrakcyjną możliwością zarówno dla początkujących, jak i zaawansowanych programistów. Aby jednak zapewnić tworzonym projektom odpowiednią, profesjonalną jakość, trzeba się nauczyć rozwiązywać problemy powstające podczas tworzenia aplikacji internetowych, stosować najlepsze praktyki programistyczne, a także skutecznie wdrażać i testować aplikację.\nTo trzecie wydanie praktycznego przewodnika po budowie aplikacji internetowych. Krok po kroku opisano w nim wszystkie istotne elementy procesu projektowania i wdrażania aplikacji: bloga, witryny społecznościowej, sklepu internetowego oraz platformy e-learningowej. Zawarte tu szczegółowe wskazówki pomogą integrować popularne technologie, usprawniać aplikacje z wykorzystaniem technik AJAX, tworzyć API REST oraz konfigurować środowisko produkcyjne dla projektów Django. Dzięki tej książce niepostrzeżenie opanujesz najistotniejsze zasady pracy w Django - i czym prędzej zaczniesz od podstaw budować praktyczne projekty. Nowością w tym wydaniu jest rozdział poświęcony projektowaniu serwera czatu z wykorzystaniem serwera Django Channels.\nW tej książce:\n\npraktyczna strona projektowania aplikacji internetowych\npodstawy Django, w tym ORM, szablony, adresy URL, formularze i uwierzytelnianie\nfunkcje zaawansowane: niestandardowe pola modelu i oprogramowanie pośredniczące\nwykorzystanie technik AJAX, system płatności, CMS, API RESTful\nintegracja projektu z takimi technologiami jak Redis, RabbitMQ, PostgreSQL i Channels\nwdrażanie projektów Django za pomocą NGINX, uWSGI i Daphne\n\nDjango - wypróbowany framework dla profesjonalnych projektantów!\n']",2021,Helion,488,"Django 3 By Example: Build powerful and reliable Python web applications from scratch, 3rd Edition",http://www.amazon.com/exec/obidos/ASIN/1838981950/helion-20,"Radosław Meryk, Robert Górczyński",https://helion.pl/ksiazki/dj3pt3.htm,//helion.pl/pobierz-przyklady/dj3pt3/
"https://helion.pl/ksiazki/python-dla-devops-naucz-sie-bezlitosnie-skutecznej-automatyzacji-noah-gift-kennedy-behrman-alfredo-deza-grig-ghe,pytdev.htm",Python dla DevOps. Naucz się bezlitośnie skutecznej automatyzacji,https://static01.helion.com.pl/global/okladki/326x466/pytdev.jpg,9788328368309,"Noah Gift, Kennedy Behrman, Alfredo Deza, Grig Gheorghiu","['Noah Gift\xa0- jest wykładowcą na uniwersytetach Northwestern i Duke’a. Prowadzi zajęcia z inżynierii danych oraz informatyki.\n', 'Kennedy Behrman\xa0- jest doświadczonym konsultantem specjalizującym się w tworzeniu architektury i implementacji rozwiązań w chmurze dla start-upów.\n', 'Alfredo Deza\xa0- jest inżynierem oprogramowania i programistą open source.\n', 'Grig Gheorghiu\xa0- jest kierownikiem laboratorium badawczego, architektem systemów, sieci i zabezpieczeń oraz inżynierem testów kodu.\n']","['\nOstatnia dekada zmieniła oblicze IT. Kluczowego znaczenia nabrały big data, a chmura i automatyzacja rozpowszechniły się wszędzie tam, gdzie mowa o efektywności. Inżynierowie muszą wykorzystywać zalety systemów linuksowych w codziennej praktyce, aby zapewnić należyty poziom automatyzacji swoich zadań. Do tych celów świetnie nadaje się Python. Język ten zdobywa coraz większe uznanie z uwagi na jego wszechstronność, jak również wydajność, przenaszalność i bezpieczeństwo kodu. Warto więc wykorzystywać Pythona do administrowania systemami Linux wraz z takimi narzędziami DevOps jak Docker, Kubernetes i Terraform.\nDzięki tej książce dowiesz się, jak sobie z tym poradzić. Znalazło się w niej krótkie wprowadzenie do Pythona oraz do automatyzacji przetwarzania tekstu i obsługi systemu plików, a także do pisania własnych narzędzi wiersza poleceń. Zaprezentowano również przydatne narzędzia linuksowe, systemy zarządzania pakietami oraz systemy budowania, monitorowania i automatycznego testowania kodu. Zagadnienia te szczególnie zainteresują specjalistów DevOps. Ponadto zawarto tu podstawowe informacje o chmurze obliczeniowej, usługach IaC i systemach Kubernetes. Omówiono zasady uczenia maszynowego i inżynierii danych z perspektywy DevOps. Przedstawiono także kompletny przewodnik po procesach budowania, wdrażania oraz operacyjnego wykorzystywania modelu uczenia maszynowego z użyciem systemów Flask, sklearn, Docker i Kubernetes.\nW tej książce:\n\nwprowadzenie do Pythona\nautomatyczne przetwarzanie tekstu oraz automatyzacja operacji na plikach\nautomatyzacja za pomocą sprawdzonych narzędzi linuksowych\nchmura, infrastruktura jako kod, Kubernetes i tryb bezserwerowy\nuczenie maszynowe i inżynieria danych z perspektywy DevOps\ntworzenie i operacjonalizacja projektu uczenia maszynowego\n\nPython: tutaj ważna jest prawdziwa nowoczesność oprogramowania!\n']",2020,Helion,464,Python for DevOps: Learn Ruthlessly Effective Automation,http://www.amazon.com/exec/obidos/ASIN/149205769X/helion-20,Radosław Meryk,https://helion.pl/ksiazki/pytdev.htm,//helion.pl/pobierz-przyklady/pytdev/
"https://helion.pl/ksiazki/python-dla-programistow-big-data-i-ai-studia-przypadkow-paul-j-deitel-harvey-deitel,pytprs.htm",Python dla programistów. Big Data i AI. Studia przypadków,https://static01.helion.com.pl/global/okladki/326x466/pytprs.jpg,9788328363946,"Paul J. Deitel, Harvey Deitel","['Paul Deitel jest dyrektorem w firmie Deitel & Associates, Inc. Uczył programowania w ramach współpracy z firmami: Cisco, IBM, Siemens, Sun Microsystems, Dell, Lucent Technologies, NASA, Boeing, Puma, iRobot i wieloma innymi. Jest współautorem wielu podręczników programowania.\n', 'Dr Harvey M. Deitel ma ponad 55 lat doświadczenia informatycznego. Również ukończył MIT, a na Uniwersytecie Bostońskim zdobył stopień doktora matematyki. Uczył programowania na uczelniach, w urzędach, firmach i wojsku. Publikacje Deitelów są rozpoznawane na całym świecie i były tłumaczone na dziesiątki języków.\n']","['\nProgramiści lubią Pythona. Ujmuje ich wyrazistość, zwięzłość i interaktywność kodu, a także bogata kolekcja narzędzi i bibliotek. Zalety te są uzupełniane przez rozwój innych technologii, zwiększającą się dostępność coraz szybszego sprzętu oraz rosnącą przepustowość internetu. Z kolei to wszystko wiąże się z powstawaniem niewyobrażalnych ilości danych, które trzeba magazynować i efektywnie przetwarzać. Większość innowacji w świecie informatyki koncentruje się wokół danych. A z tymi zadaniami można sobie poradzić dzięki imponującym możliwościom Pythona i jego bibliotek.\nTa książka ułatwi naukę Pythona metodą analizy i eksperymentów. Zawiera ponad 500 przykładów faktycznie wykorzystywanego kodu - od krótkich bloków po kompletne studia przypadków. Pokazano, w jaki sposób można kodować w interpreterze IPython i notatnikach Jupytera. Znalazł się tu obszerny opis Pythona oraz jego instrukcji sterujących i funkcji, omówiono pracę na plikach, kwestie serializacji w notacji JSON i obsługę wyjątków. Zaprezentowano różne paradygmaty programowania: proceduralnego, w stylu funkcyjnym i zorientowanego obiektowo. Sporo miejsca poświęcono bibliotekom: standardowej bibliotece Pythona i bibliotekom data science do realizacji złożonych zadań przy minimalnym udziale kodowania. Nie zabrakło wprowadzenia do takich zagadnień data science jak sztuczna inteligencja, symulacje, animacje czy przygotowanie danych do analizy.\nW książce między innymi:\n\nprzetwarzanie języka naturalnego\nIBM\nstosowanie bibliotek scikit-learn i Keras\nbig data, Hadoop(R), Spark™, NoSQL i usługi chmurowe\nprogramowanie dla internetu rzeczy (IoT)\nbiblioteki: standardowa, NumPy, Pandas, SciPy, NLTK, YexyBlob, Tweepy, Matplotlib i inne\n\n']",2020,Helion,712,Python for Programmers: with Big Data and Artificial Intelligence Case Studies,http://www.amazon.com/exec/obidos/ASIN/0135224330/helion-20,Andrzej Grażyński,https://helion.pl/ksiazki/pytprs.htm,//helion.pl/pobierz-przyklady/pytprs/
"https://helion.pl/ksiazki/python-dobre-praktyki-profesjonalistow-dane-hillard,pytdop.htm#format/e",Python. Dobre praktyki profesjonalistów,https://static01.helion.com.pl/global/okladki/326x466/pytdop.jpg,9788328368699,Dane Hillard,"['Dane Hillard jest głównym programistą aplikacji internetowych w ITHAKA, organizacji non profit działającej w szkolnictwie wyższym. Wcześniej zajmował się budowaniem mechanizmów wnioskowania z danych telemetrycznych i potokami ETL dla aplikacji bioinformatycznych. Stara się kodować kreatywnie i łączyć różne pasje ? do muzyki, fotografii, jedzenia i programowania. Często występuje na międzynarodowych konferencjach poświęconych Pythonowi i Django.\n']","['\nPython wydaje się językiem idealnym: ma intuicyjną składnię, jest przyjemny w używaniu, umożliwia tworzenie wydajnego, elastycznego kodu. Przy tym jest wyjątkowo wszechstronny, a stosowanie go w przeróżnych celach ułatwiają liczne biblioteki tworzone przez pasjonatów. To jednak nie zmienia faktu, że aby stać się profesjonalnym programistą Pythona, trzeba nauczyć się tworzyć kod godny profesjonalisty: działający bez błędów, czysty, czytelny i łatwy w utrzymaniu. W tym celu trzeba korzystać z branżowych standardów, które określają styl kodowania, projektowania aplikacji i prowadzenie całego procesu programowania. Należy wiedzieć, kiedy i w jaki sposób modularyzować kod, jak poprawić jakość przez zmniejszenie złożoności i stosować kilka innych, koniecznych praktyk.\nTa książka okaże się szczególnie cenna dla każdego, kto zamierza profesjonalnie tworzyć kod w Pythonie. Stanowi jasny i zrozumiały zbiór zasad wytwarzania oprogramowania o najwyższej jakości, praktyk stosowanych przez zawodowych wyjadaczy projektowania i kodowania. Poza teoretycznym omówieniem poszczególnych zagadnień znalazło się tu mnóstwo przykładów i przydatnych ćwiczeń, utrwalających prezentowany materiał. Nie zabrakło krótkiego wprowadzenia do Pythona, przedstawiono też sporo informacji o strukturach danych i różnych podejściach w kontekście osiągania dobrej wydajności kodu.\nPokazano, w jaki sposób zapobiegać nadmiernemu przyrostowi kodu podczas rozwijania aplikacji i jak redukować niepożądane powiązania w aplikacji. Dodatkową wartością publikacji jest bogactwo informacji o ogólnej architekturze oprogramowania, przydatnych każdemu zawodowemu programiście.\nW książce między innymi:\n\npodstawy projektowania w Pythonie\nwysokopoziomowe koncepcje rozwoju oprogramowania\nabstrakcje i hermetyzacja kodu\nróżne metody testowania kodu\ntworzenie dużych systemów a rozszerzalność i elastyczność aplikacji\n\nPythona praktykuj profesjonalnie!\n']",2020,Helion,240,Practices of the Python Pro,http://www.amazon.com/exec/obidos/ASIN/1617296082/helion-20,Michał Sternik,https://helion.pl/ksiazki/pytdop.htm,//helion.pl/pobierz-przyklady/pytdop/
